file,eng,fra,spa,chi_sim,word_counts,Score_0,Score_1,Score_2,Score_3,Score_4,Score_5,Score_6,Score_7,Score_8,Score_9
images/262838.jpg,"Maximum Strength  amprin     P     =  P Maximum Stength 207,  amprin  and Cafeine-Free R sminoghen, Panobon & yrlamine Walate 20 Caplets  E Menstrual Pain Relief C H","Maximum Strength  amprin     P     =  P Maximum Strength 0Z  amprin  ‘and Cafline-Free M hccusminophen, Pomabrom 6 Pyrlamine Maiete 20 Caplets  Ë Menstrual Pain Relief C —","Maximum Strength  amprin     P     s  P Maximum strength 202  amprin  aand cafteine-Free al ncaminophe, Pamobrom 6 Pyriamine malate 20 Caplets  E Menstrual Pain Relief C —","Maxinmum 5tength eK0Z。               P Maxnunmsterglh 志 0  amprfIn  5 二 Mens″‖a_F薯i""翼叠‖e_ _ 3′ ypo777Z7  1 nneeoniotenete hn pnongiinneules 20Gplet",26,21,20,20,29,20,10,21,29,19,24
images/95. box-of-hayfever-and-allergy-relief-tablets-on-white-background-cca4pt.jpg,El] alamy stock photo el,E alamy stock photo en,El alamy stock photo —,回 alamy stock photo E,5,27,23,41,36,32,32,32,32,27,41
images/96. large_608089_doeqeoxr49hzjvzeabn363t9_.jpg,"Clear Allergies e        Per DOH-FDA CDRR Permit No. 26: August 18, 2014 to December 31,2014     014  Promo duration     &  Contact Us Y ETs Torms & Condition's Privacy Policy 2013 WSD Philippin . P  (L R e","Clear Allergies C e        Per DOH-FDA CDRR Permit No. 26: August 18, 2014 to December 31,2014     014  Promo duration     G  SS L site Map Terms & Conditions Privacy Policy PE ; PE T  If symptoms persist, consult your doctor,","Clear Allergies O ecimer        Per DOH-FDA CDRR Permit No. 26: August 18, 2014 to December 31, 2014     014  Promo duration     a  OCE Glossary Site Map O A D le a ee ea dA  E de 8 Ea",Cieorhlergyles 园        fDACDWRPemihe 24szol4 20M4toDecenterai zoi4  DomoduionAugusn       E E Ste p D b E c  E,39,27,16,24,27,19,25,27,25,18,2
images/426411.jpg,ACETAMINOPHEN & DIPHENHYORAMINE HYDROCHLORIDE        40 capLers,ISSLU EDL UIMN EUN        070175,O TTEETDETETETA        A Te,w        l,5,25,25,31,31,41,25,28,38,22,38
images/95. allergy-asthma-sinus-center-services-lexington-ky.jpg,BREATHE EASIER WITH  Effective Treatment  i S,BREATHE EASIER WITH  Effective Treatment  # … UEc 3,BREATHE EASIER WITH  Effective Treatment  s IC s,"BREAT HE EASIER WITH  Effective _ Treatment 七 脱  , 史 怡",9,29,15,27,37,22,31,22,18,29,29
images/785172_xlarge.jpg,Dry. Cough Medicine  > Soothes dry irritating coughs  T s  OOOE T PINEEE,"Dry, Cough Medicine  > Soothes dry irritating coughs  OO EU  PENTOXYVERINE CITRATE 15mg ETE","Dry, Cough Medicine  > Soothes dry irritating coughs  EO TT DTS  hO aa AUSTR52355",D Gough Medicine  > Soothes dry irritating coughs  E  u A,14,26,31,28,30,27,25,24,25,26,24
images/100. 4ea1b167-2661-4af7-b12a-f357160f9d0e-01.jpg,"E) o1 20219+  “dX3  ‘ON 101        CVS°  pharmacy       LORATADINE TABLETS, 10 mg VI3  24 HOUR ALLERGY RELIEF  Relief of:  Sneezing; Runny nose  Itchy, watery eyes | Itchy throat or nose  LORATADINE TABLETS, 10mg. i        s q uCVS'Quality  P -  &  CVS®  pharmacy e       LORATADINE TABLETS T ' LU TRy VT S       . \ INDOOR & OUTDOOR ALLERGIES","ED 21 22s :  ‘dxa  ‘ON LO1        CVS  pharmacy       LORATADINE TABLETS, 10 mg ANTIHISTAMINE  24 HOUR ALLERGY RELIEF  Relief of:  Sneezing; Runny nose  ltchy, watery eyes | Itchy throat or nose  PEN RIR EU        = _,J °WS'Quali!y  e s=  #  CVS”  pharmacy 2       LORATADINE TABLET$ LUIUT) ' ANTIHISTAMINE       = \ INDOOR & OUTDOOR ALLERGIES","E) 2T 20279:  “dX3  ""ON 101        cvs'  pharmacy       LORATADINE TABLETS, 10 mg ANTIHISTAMINE  24 HOUR ALLERGY RELIEF  Relief of:  Sneezing; Runny nose  Itchy, watery eyes ! Itchy throat or nose  TT T EUN        - _,¿ ºCVS'QuaIin  e Te  d  CvSs'  pharmacy “       LORATADINE TABLETS T l ANTIHISTAMINE       - l INDOOR 8: OUTDOOR ALLERGIES","E 4 2lat9:  “dX3  “0N L01     CVS「  pharmacy  LoR^T^D′NE TABLE5T3, 10 mg ANTIHISTAMINE  24 HOUR ALLERGY REL1EF  Rejiefof:  Sneezing; Runny nose /tchyy watery eyes /tchy throat or nose     CVS「  pharmacy 夜     LORAT^D′″E T^叠LETs 10 mg 1 妻 ANTIMISTAMINE  : 晨 ND00R&.OUTD00RALLERGIES                  umpuroapom L",54,7,7,21,22,43,21,37,17,16,25
images/98. montelukast-asthma-and-airway-allergy-drug-molecule-skeletal-formula-kmrt37.jpg,E) alamy stock photo,& alamy stock photo,EJ alamy stock photo,回 alamy stock photo,4,37,26,32,32,37,32,32,32,26,26
images/900 (8).jpg,"Relieves DENTURE and  BRACE sore spots  T  e 4  TI=E  = P  DENTIST RECOMMENDED     “The ADA Council on Scientific Affairs’ Acceptance of Benzodent A s Danture Oiniment is based on its finding that the product AP tive for temporary relief of pain due to mouth sores, when  used as directed.”  o G B S  Benzodent  NETWT 0.25 0Z (7g)","Relieves DENTURE and  BRACE sore spots  P——  DF  CLEZ  —> Énx c>grer uuc rz  DENTIST RECOMMENDED     “The ADA Council on Scientific Affairs’ Acceptance of Benzodent AéI5esic Denture Oiniment is based on its finding that the product aS2eive for temporary relief of pain due to mouth sores, when  used as directed. ”  R— <»> —> — w»s  Benzodent  NET WT 0.25 OZ (79)","Relieves DENTURE and  BRACE sore spots  . —]—————  7  ?—  P Ea a><—>—an—>=y  DENTIST RECOMMENDED     “The ADA Council on Scientific Affairs' Acceptance of Benzodent Abedesic Denture Oiniment is based on its finding that the product a efiBchive for lemporary relief of pain due lo mouth sores, when  used as directed.”  a — — as — ""=  Benzodent  NETWT 0.25 07 (79)",Relieves DENTURE and  BRACE sore spots  - 一  一  1 一 一  BRzszsc 芸 g  DENTIST RECOMMENDED     Acoeplencs cf genzodenl 伟 师 ding hofihe producf Joe Io mujh sores when  “The ADA Councll en Scianfic Affoirs Andigesic Dentre Oinenfi pased on f 5 院 Sve for lemporory relef of pain sedosdireced 「  嘻`′.二蕾髦`一重磨 曙矗鼻薹雇磐叠] E 二  Benzodent  NETWT02507 ),62,16,3,37,19,21,28,21,25,12,19
images/375e067cb34bc56ae3be98153a54c02a.jpg,125 Dissolying Tablets,125 Dissolving Tablets,UO,E 孝 e  L RELIEVER     U,3,23,36,45,55,32,36,27,32,36,33
images/836007.jpg,\  | MACY MEDICINE  KEEP OUT OF REACH OF CHILDREN     & Pain Relief  For rapid relief of stomach ache and pain due to cramp or spasm.     2 0 Tablets Each tablet contains hyoscine butylbromide,\  | MACY MEDICINE  KEEP OUT OF REACH OF CHILDREN     CTN 172 TS ARRGRES  For rapid relief of stomach ache and pain due to cramp or spasm.     2 0 Tablets Each tablet contains hyoscine butylbromide,|  | MACY MEDICINE  KEEP OUT OF REACH OF CHILDREN     é Pain Relief —  For rapid relief of stomach ache and pain due to cramp or spasm.     2 º Tablets Ie ei (u NE SI 0SM ON C TT,| 《PMARMACY MEDICINE  KEEP 0UT OF REACH OF CHILDREN  & Parn Re/ief  E u e and pain due to cramp or spasm.  2″ Ta″/e′s [ncduutiE I Ibromide,35,27,27,34,28,17,28,24,19,21,21
images/900.jpg,"TS  NyQuil  COLD & FLU (LT L A s I ”  ches, Fever & Sore b L  L","Alcohol Free  NyQuil  COLD & FLU DL Acetaminophen, Chloroheniramine, MLEU  ;  P Throët ineezing, Runny Nose  R ETE","AOO  NyQuil  COLD 8 FLU DTT Acetaminophen, Chiorpheniramine, 7e2 ual  -  C TA a Throst neezing, Runny Nose  T",Alcohol Free  NyQuil  COLD & FLU Nightime Relief Eoouupppy  1  ches fever E Thm氨' 沥 训 M  肖 esmteltmusints,18,20,19,26,28,31,19,23,19,39,23
images/900 (6).jpg,[T EENS (TR SR  Aspirin 8  81 m 9/ Pai Pain Reliever (NSAIP)  500 e  HEART HEALH  L  Lo Bayer  o [y e T AT FOR oUSEH0LDS WITH YOUNG CHILDEEE,TT B2 CT L L  Aspirin 8  CRN l VA SZN Pain Reliever (NSAIP)  500 e  PE  C  A COTE  u Low Dose Aspirin active PE NOTFOR HOUSEHOLDS WITH YOUNG CHLDREY,p E [ e au  Aspirin 8  81 m 9/ Pai E TA C CA  500 e  ua  o  pareto Bayer  — Low Dose Aspirin active I MOTFOR HOUSEMOL s i YOUNG CHILDREM,"As u 东 胺  [ E Pa_n E (""s^m丨  500 雄  厂 2  0 0 E “ rlown 0 E 7T",31,25,26,18,17,24,20,20,22,15,22
images/57543.jpg,"Ve DR 4G A gy P ® f. tHoeurng x e e e n e r e ;” "" - Intensive Concentrate For Relief & Recovery WAR  Inflammation Formulation  — with Arnica, Vitamin B6 & MSM — I  NET WT. 4 OZ.[1149]  \_____—/","dl ORE 4466109 Wl (n G) P Q ,Î euine x fl (ote e n e r e lm A } ntensive Concentrate For Relief & Recovery WAR  Inflammation Formulation  — With Arnica, Vitamin B6 & MSM _— '  NET WT. 4 OZ .[114g]  \________/","U Dh NEG AE “) P 0 …p. 'Uevine x e * oy e n e r e ;“ , ., — Intensive Concentrate For Relief 8: Recovery WAR  Inflammation Formulation  — with Arnica, Vitamin B6 8: MSM — H  NET WT. 4 OZ.[114g]  x______/","g Mn 园 ) P tuine 倩ne  R Intensive Concentrate For Relief & Recovery  ````` rn     Inflammation Formulation  一 withAmica, Vitamin B6 & MSM 一  NET WT 4 OZ.[114g]  ]",45,20,17,20,18,18,31,17,18,22,11
images/007401.jpg,i T i e S S S f eSS IS SIS s T s T £ S e frelerrr FEP T S = IS s trer Fr RSt e e S s ey ST L s sl A eSS LT L WA TES T =i e e = 2 Y e e ter S cose s 7           B e  Lo ZFre T LT ey F <Pr —F ZIrT TS FaTi L Zer= T = iveeks —ees o7 S omc ik S Ter rarr 72 ST S e rr E e     Emulgel  Diclofenac diethylammonium gel 11.6 mg/g equivalent to diclofenac sodium 10 mg/g (1% w/w)  For temporary relief of local pain and inflammation AusTr 47676,"LEIS LS 1II/I IL I LS LEMOS TPI MIOIS MPIIOT F ILIS DOIIPISI IL IR ESDS7 S Larr es Mrardarun” FCP S—n L77 5 LTS SUS LI USCAT SS S HS FT MI CEIN I SP S SPI E LSSS OS Z A WNISES CIS ILICE INTEST SN Sn LIF CLS III S SJ T HST ISS LOST IOS TT ISES SS LPUIT SS ESS CIS ENLEST T II S 0SS0S IL ILO0S           OD TEI IS L5CT)IS CUYII S ISMFN 855 A JIRN LS  L> L)7S ISS OE OT ISS T F IT -F EMTT ISS HID COOIOO C COE E E ESL OS GD S, (S SS 05704 SS ISS SE SIT SESST TEI I ISS TID LS PL7     Emulgel  Diclofenac diethylammonium gel 11.6 mg/g equivalent to diclofenac sodium 10 mg/g (1% w/w)  For temporary relief of local pain and inflammation AUST R 47676","o L=772z> =I. ==7 -7 1- DI III LIIIIL7ITIILI SrO P— FO — ZA Lsser= Ij II 1- I= S 1S A I 2IzTILAIIL ATDELS7 =y =S DIALIIDIZ <2 DZ LEIIITIEZ ELISDL= o =X£ 77O 5= 777           q7 7LIZ25= l--7 ID I/IADZII 25 D ID ID  Lo 7 I= I =I F 7 A LTIES TI7 ZEZ ES E L=ETEEZL, - I 12KIL TI7 TELO DT IIIIILID     Emulgel  Diclofenac diethylammonium gel 11.6 mg/g equivalent to diclofenac sodium 10 mg/g (1% w/w)  For temporary relief of local pain and inflammation AUST R 47676",一 厂 eorymeoeyrimLs 一 广 口 2 广 coerz 一 zmyrz 吊 广 cor [zraczymryz 心 r - 不 r czea - 东 cz e 人 > 一 scr 吊 人 zredres 口 c L 加 seoco 一 cz[ ismcre< 一 ezvezx 二 心 广 5iz 心 工 a 口 心 e z<derezprze czrizr7z 口 erzczrzreiis- crriere:c 一 一 一 yz 心 cise 心 [ 一              Esrzozzzsczzatzzysczzztdtstcrzctuztszatrzotozoctotsdzdo  < L 心 心 志F 不 - 心 不 一 c 一 不 L c 一 二 2 万 5ERZ 乙 二 E EBESELZC 一 心 心 心 c A ez 广 12xiX LZzyEzrrz 心 zzr     Emulger  Diclofenac diethylammonium gel 11.6 mg/g9 equivalent to diclofenac sodium 10 mg/g (1% wW/w)  For temporary relief of local pain and inflammation AUSTR 47676,145,17,12,21,17,26,24,21,19,24,18
