,tocompare,file,eng,fra,spa,chi_sim
10,0,images/46. zyrtec.jpg,n Zyrtec  (ST T T Y],ﬂ Zyrtec  CETIRIZINE HCI 10mg,m Ae  CETIRIZINE HCI TOmg,双 Zyriec  CEJIR1ZINE HC1 10mg
11,0,images/30. maxresdefault.jpg,RELIEF OF: P30  LA GH AR VFERT ST  Gl IR LG,"LAN A CZI  v Runny Nose  v Itchy, Watery Eyes  v Itchy Nose or Throat","ANE A ANE  Y Runny Nose  Y Itchy, Watery Eyes  CAA AO",L 沥 [  Y Runny Nose A  Y ltchy Nose
12,0,images/91. 001389669.jpg,Children’s Claritin® gredxem‘     Compare to T CaL        ne Oral Solution Antihistamine 24 Hour Non-Drowsyf Allergy Relief  For Ages 2 & Over or Allergies  = Dye Free  = Dosing Cup Enclosed  Sugar Free Grape [FECL N,Children‘s Claritin® gredxent’     Compare to active in        ne Oral Solution Antihistamine 24 Hour Non-Drowsy* Allergy Relief  For Ages 2 & Over or Allergies  = pye Free  = Dosing Cup Enclosed  Sugar d Grape EN N,Children's [ FTA gred¡ent'     Compare to active in        ne Oral Solution Antihistamine 24 Hour Non-Drowsy* Allergy Relief  For Ages?2 8: Over or Allergies  = Dye Free  = Dosing CUP Enclosed  CEA Free | Grape EN N,"ssccoN F         E E g厂ed【e门t′     Compare t E in        6 Ora_ So_uti0n fAntihistamine) 24 Hour Non-Drowsy17 Allergy Relief  For Ages 2 & Over Indoor & Outdoor Allergies  Dye Free  Dosing CUP Enclosed  L Grape E 蝴 区 ,  +When taken 85 directad' See Drug Facts Panel"
13,0,images/29. ef414c05-e257-4e5e-8d4e-77b91d35c666-02.jpg,"Drug Facts  Active ingredients (in each caplet)  Acetaminophen 325 mg.. ain reliever Chiorpheniramine malea ihistamine Phenylephrine HCI 5 mg..... Nasal decongestant p  Purpose  Drug Facts (continued)  Drug Facts (continued)  Uses m temporarily relieves these symptoms of hay fever or other upper respiratory allergies: W runny nose and sneezing M nasal congestion m minor aches and pains m headache W sinus congestion and pressure v  Drug Facts (continued)     | temporarily relieves these additional symptoms of hay fever: m itching of the nose or throat m helps clear nasal passages o helps decongest sinus openings and passages  Warnings Liver warning: This product contains acetaminophen. The maximum daily dose of this product is 10 caplets (3,250 mg acetaminophen) in 24 hours. Severe liver damage may occur if you take m more than 4,000 mg of acetaminophen in 24 hours m with other drugs containing acetaminophen m 3 or more alcoholic drinks every day while using this product  Donotuse mwith any other drug containing acetaminophen (prescription or nonprescription). If you are not sure whether a drug contains acetaminophen, ask adoctor or pharmacist. m if you are now taking a prescription monoamine oxidase inhibitor (MAOI) (certain drugs for depression, psychiatric, or emotional conditions, or Parkinson’s disease), or for 2 weeks after stopping the MAOI drug. If you do not know if your prescription drug contains an MAOI, ask a doctor or pharmacist before taking this product. m if you have ever had an allergic reaction to this product or any of its ingredients m to make a child sleepy  Ask a doctor before use if you have  mliver disease W heart disease W diabetes  m high blood pressure ~ m thyroid disease  m trouble urinating due to an enlarged prostate gland  m a breathing problem such as emphysema or chronic bronchitis M glaucoma »  m itchy, watery eyes  Ask a doctor or pharmacist before use if you are  m taking the blood thinning drug warfarin  m taking sedatives or tranquilizers  When using this product  m do not exceed recommended dosage  m excitability may oceur, especially in children  o alcohol, sedatives, and tranquilizers may increase drowsiness m avoid alcoholic drinks  m be careful when driving a motor vehicle or operating machinery ~ m drowsiness may occur  Stop use and ask a doctor if  m nervousness, dizziness, or sleeplessness occur  W pain or nasal congestion gets worse or lasts more than 7 days ® new symptoms occur  m fever gets worse or lasts more than 3 days  m redness or swelling is present  These could be signs of a serious condition.  If pregnant or breast-feeding, ask a health professional before use.  Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away. (1-800-222-1222) Quick medical attention is critical for adults as well as for children even if you do not notice any signs or symptoms.  Directions  m do not take more than directed (see Liver warning)  adults and m take 2 caplets every 4-6 hours  children m swallow whole - do not crush,  12 years chew or dissolve  and over m do not take more than 10 caplets in 24 hours  children under |ask a doctor","Drug Facts  Active ingredients (in each caplet)  Acetaminophen 325 mg.. ain reliever Chlorpheniramine maleai ihistamine Phenylephrine HCI 5 mg….Nasal decongestant p  Purpose  Drug Facts (continued)  Drug Facts (continued)  Uses u temporarily relieves these symptoms of hay fever or other upper respiratory allergies: mrunny nose and sneezing … m nasal congestion m minor aches and pains _ mheadache m ssinus congestion and pressure v  Drug Facts (continued)     m temporarily relieves these additional symptoms of hay fever: miitching of the nose or throat mhelps clear nasal passages mhelps decongest sinus openings and passages  Warnings Liver warning: This product contains acetaminophen. The maximum daily dose of this product is 10 caplets (3,250 mg acetaminophen) in 24 hours. Severe liver damage may occur if you take m morethan 4,000 mg of acetaminophen in 24 hours m with other drugs containing acetaminophen m3 or more alcoholic drinks every day while using this product  Donotuse m with any other drug containing acetaminophen (prescription or nonprescription). If you are not sure whether a drug contains acetaminophen, ask a doctor or pharmacist. m if you are now taking à prescription monoamine oxidase inhibitor (MAO!) (certain drugs for depression, psychiatric, or emotional conditions, or Parkinson's disease), or for 2 weeks after stopping the MAOI drug. If you do not know if your prescription drug contains an MAOI, ask a doctor or pharmacist before taking this product. m if you have ever had an allergic reaction to this product or anyof its ingredients m to make a child sleepy  Ask a doctor before use if you have  mliver disease mheartdisease m diabetes  mhigh blood pressure m thyroid disease  m trouble urinating due to an enlarged prostate gland  ma breathing problem such as emphysema or chronic bronchitis mglaucoma »  miitchy, watery eyes  Aska doctor or pharmacist before use if you are  m taking the blood thinning drug warfarin  m taking sedatives or tranquilizers  When using this product  m do not exceed recommended dosage  m excitability may occur, especially in children  Malcohol, sedatives, and tranquilizers may increase drowsiness m avoid alcoholic drinks  m be careful when driving a motor vehicle or operating machinery m drowsiness may occur  Stop use and ask a doctor if  m nervousness, dizziness, or sleeplessness occur  m pain or nasal congestion gets worse or lasts more than 7 days m new symptoms occur  m fever gets worse or lasts more than 3 days  m redness or swelling is present  These could be signs of a serious condition.  If pregnant or breast-feeding, ask a health professional before use.  Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away. (1-800-222-1222) Quick medical attention is critical for aduits as well as for children even if you do not notice any signs or symptoms.  Directions  m do not take more than directed (see Liver warning)  adults and m take 2 caplets every 4-6 hours  children m swallow whole - do not crush,  12 years chew or dissolve  and over m do not take more than 10 caplets in 24 hours  children under |ask à doctor","Drug Facts  Active ingredients (in each caplet)  Acetaminophen 325 mg.. ain reliever Chlorpheniramine malea ihistamine Phenylephrine HCI 5 mg......Nasal decongestant »  Purpose  Drug Facts (continued)  Drug Facts (continued)  Uses m temporarily relieves these symptoms of hay fever or other upper respiratory allergies: M runny nose and sneezing — m nasal congestion M minor aches and pains — mmheadache M sinus congestion and pressure v  Drug Facts (continued)     m temporarily relieves these additional symptoms of hay fever: M itching of the nose or throat M helps clear nasal passages M helps decongest sinus openings and passages  Warnings Liver warning: This product contains acetaminophen. The maximum daily dose of this productiis 10 caplets (3,250 mg acetaminophen) in 24 hours. Severe liver damage may occur if you take m more than 4,000 mg of acetaminophen in 24 hours M with other drugs containing acetaminophen m 3 or more alcoholic drinks every day while using this product  Donotuse mwith any other drug containing acetaminophen (prescription or nonprescription). If you are not sure whethera drug contains acetaminophen, ask a doctor or pharmacist. — m if you are now taking a prescription monoamine oxidase inhibitor (MAOI) (certain drugs for depression, psychiatric, or emotional conditions, or Parkinsor's disease), or for 2 weeks after stopping the MAOI drug. If you do not know if your prescription drug contains an MAOI, ask a doctor or pharmacist before taking this product. — m if you have ever had an allergic reaction to this product or anyof its ingredients — m to make a child sleepy  Aska doctor before use if you have  Mliver disease — m heart disease m diabetes  M high blood pressure — m thyroid disease  m trouble urinating due to an enlarged prostate gland  M a breathing problem such as emphysema or chronic bronchitis M glaucoma »  Mitchy, watery eyes  Aska doctor or pharmacist before use if you are  m taking the blood thinning drug warfarin  M taking sedatives or tranquilizers  When using this product  m do not exceed recommended dosage  m excitability may occur, especially in children  M alcohol, sedatives, and tranquilizers may increase drowsiness — m avoid alcoholic drinks  M be careful when driving a motor vehicle or operating machinery — m drowsiness may occur  Stop use and aska doctor if  M nervousness, dizziness, or sleeplessness occur  M paín or nasal congestion gets worse or lasts more than7 days m new symptoms occur  m fever gets worse or lasts more than 3 days  m redness or swelling is present  These could be signs of a serious condition.  If pregnantor breast-feeding, aska health professional before use.  Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away. (1-800-222-1222) Quick medical attention is critical for adults as well as for children even ¡f you do not notice any signs or symptoms.  Directions  m do not take more than directed (see Liver warning)  adults and m take 2 caplets every 4-6 hours  children M swallow whole - do not crush,  12 years chew or dissolve  and over M do not take more than 10 caplets in 24 hours  children under | ask a doctor","Drug Facts  Active Ingredients (p each caplep  Acetaminophen325mg- ainreliewer Chlopheniiamine malea ihistamine Phenylephrne HCI 5 mg.,Nasal decongestant ]  Pupose  Drug Facts (continued)  Drug Facts (continued)  Uses “ 口 temporariy releves these symptoms ofhayfever or ther upper respiiatory allergies: 一 unny n086 and nee7ing “ 日 53| 0009esion 町 Iminor aches and pains ˇ 目 headache 五 Sinus congestion and pressure 史  Drug Facts (continued)     画 t60mpofafily Ielieyes th6s6 additioal sympioms ofhay fever 町 iching ofthe nose 0r hroat “ 口 itchy.watery eyes 町 helps lear asal passa065 一 helps decongest inus 0penings and passa06s  WMarnings Liver warning:Thisproduct contains acetamiinopheru The mekimum daiy dose ofthis pductis 10 caplets (3250 mg acetaminopher in 24 hours Sevefe verdamage Imay courifyoutake 一 more 认 an 4.000 mg f acstaminophen i 24 houfs 一 with other drugs containing acetaminophen 町 3 or more alcoholic drinks every day whie using this product  Donotuse “ 一 with anyother drug containing 2celaniinophen prescripton ornonpescriptonj).Iyou aIe notsure whethera drug contains 3cetarfinophenM 2SK doctor or pharmacist “ 一 馗 you re nowtaking 3 rescripton Imonoamine oxidase inhibitor (AO (cetain drugsfor depression,psychiatfc oremotioal conditons, or Parkinsonls diseasj,orfor 2 weeks after stopping 乙 e MAOI dug Ifyou do not know i your presoipton drug contains an MAOL ask a doctor orpharmacstbefore tking this poduct “ 不 认 you have ever had an alergic eacton t 乞 s pIoduct or any of jls ingredients 里 书 make 3 hild sleepy  Ask a doctor before use if youhave  町 liver disease “ 目 heat disea5e “ 町 diabeles  町 high blood pressure “ 一 thyroid disease  一 touble ufinatng due tb an eflarged postate and  西 3 bfeathing problemn such aSeImphysema 0 chronic bronchiis ˇ 一 glaucoma 4  AsK a doctor or pharmacistbefore USe ifyou afre  一 taking the blood thinning drug wartarin  不 taking sedathes ortandquilzers  When using this product  町 do not exceed iecommended dosage  一 eXciabiliy may 0ccur especially in chidren  画 alcohol,Sedatives, and tfanduizefs Imay increase drowsiness “ 一 aVoid alcoholic drnks  一 e careful when dving a motor vehicl or operating machinery “ 町 diowiness may 0ccur  Stop USe nd 3SK 3 doctor 首  町 erVOUSne5S dzzines8,0f SleeplesSn658 0CUr  町 pain 0fnaS53| C0ngestion gets WOfse 0 lasts Imore ihan 7 days “ 目 neW SymptomS 0ccur  町 fever 0ets Worse 0r lasts more 从 an 3 days  町 redness or sweling jspresent  These could besigns f serious condiiion.  ifpregnantor bfeast-feeding, 2SK3 health pIofessional before USe.  Keep out of reac of children.In case ofoverdose, getmedical help or contacta Poison Control Certer right away.(1-800-222-1222 Quick medical attenton is cfiicalfor adults 8s well as for children eyefifyou do notnotce any signs or Symptoms:  Directions 一 donottake morethan ditected (see Liver waring) 留 忙 ke 2 caplets every 4-6 houfs 一 SWalow wWhole - do not rushu chew ordissoe 万 donot take more han 10 caplets i 24 hours  chidren under |asK8 doctor"
14,0,images/91. natural-allergy-relief-for-your-achoos.jpg,"y ’ ¥ 4 \ \ l] s = A  4 ‘ém %) R 7 | 'r l ?‘""’ m ’ h. » o !/  NATURAL ALLERGY RELIEF FOR YOUR “ACHO0S”  1 ey . - - o . % > & - ; o . - Ny . » £ ""","; ; ; ä ; w ll 2 9 4 dx  t h‘£u t) E 1ùh 7 | ‘Î \ ?‘Ü Mr - h—‘ » !  NATURAL ALLERGY RELIEF FOR YOUR “ACHOOS”  , — RS* ‘ - - = . 4 . z = 2 # 2 "" * - » - &, Lj","r , , á h N ¡l a . 9  ta ££u v E n | 'r L ?fí ;n z n—— a !/  NATURAL ALLERGY RELIEF FOR YOUR “ACHOOS”  1 — ' a 7 - á L * ñ d » a — z . * L "" > M ”",堇 心 -  NATURAL ALLERGY R【EL|EF FOR YOUR“ACHO0S「  E 1 '囊′膏'罂_′_ s 玉 _ 画 I 雨 螂 心 - 声 。 日 w “ ] e “ 入 l E
15,0,images/TB1fWrVJVXXXXaOXXXXXXXXXXXX_!!2-item_pic.jpg,| —  OPHTHALMOLOGY DROPS FOR DOGS AND CATS  INDICATIONS  O Keratitis (Levofioxacin HCL 0.5 *> O Conjunctivitis  O Swelling  O Epiphora  O Eyelid Inflammation 0 N X  5 omitaimorross MNI  OPHTHALMOLOGY DROP,p  OPHTHALMOLOGY DROPS FOR DOGS AND CATS  INDICATIONS  D Keratitis (Levofloxacin HCL 0 5 *> O Conjunctivitis  O Swelling  © Epiphora  © Eyelid Inflammation ° N X  © Opiaimorrosis MNI  OPHTHALMOLOGY DROFS,——]]  OPHTHALMOLOGY DROPS FOR DOGS AND CATS  INDICATIONS  'O Keratitis (Levofloxacin HCL 05 *> O Conjunctivitis  ' Swellng  l Epiphora  'l Eyelid Inflammation o N X  El Opimalmorross MNI  OPHTHALMOLOGY DROFS,l 去 妻目 痕  GMP LnoloacnhoLosm  一  〇 MINIX  0PHTHALMOLOGY DROPS F0g006S N cAfS  INDICATIONS  D ketts (Leofoac HCL05 D conoetntis  D Sweli  D ppron  D Bleid ntammaton o N X 日 amoooss MINI  MmAmoLoey DWK
16,0,images/33. hg1267848.jpg,"itchy Nose & Throat  picaz  Itchy, Watery Eyes  Ojos Iorose  y gar        OUICK-DISSOLVING SCTIVE EFFECTIVE  125TABLETS F 5  Jo rapida disoluc",ltchy Nose & Throat  Picaz  Itchy; Watery Eyes  Ojos Horoso  v gar        GUICK-DISSOLVING ECTIVE EFFECTIVE  125TABLETS fs S  Je répida disoluc,"Itchy Nose 8 Throat  Picaz  Itchy, Watery Eyes  Ojos Noros9  y gar        GUICK-DISSOLVING ECTIVE EFFECTIVE  125TABLETS Fe a  Je rápida disoluc","ltchy Nose & Throat  仁 y9ar9ant3        PjcazGn en 历 / Iltchy, V)宇t弓_y″Eyes  OJos /or0503     。 圭 人 M 12 5 aulCK-DISSOLVING SAFE & TABLETS EFFECTIVE  「、Z乙『/【`r4〕\ Ge a 1Cla QLS oiUCIC"
17,0,images/62. allergy-supports-plus-60-vegetarian-capsules-by-health-products-distributors-extra2.jpg,"£T958 ZV ‘DIPRI0 ‘€I outwed M 029 ""2ul ‘S10INqIISIA SIPNPOId YIfeIH e :Aq paAnquIsiq  ‘uoneiodion) esuiqes Jo yiewsapes pasalsidal e si  “DUl ‘UOHIINN XAAAD) JO Hyrewapes) pasalsidal e  “s8ul.  “s8u1i0j0d ‘soAneasasaid ‘xem ‘4e8ns ‘Jseak ‘s  ‘885 ‘Aos ‘uain|8 Aojieq ‘ui10d ‘sjeo ‘ahi ea ""NIYATIHD 40 HOV3Y 40 LNO d:  *3DV1d A¥A “100D V NI IAOLS  ‘euotssajoid aied Yijeay e Ag paidalp se Jo ‘S|t sapnsded ¢-z axyer wawayddns Aielaip e sy  suieishinooiw ‘(@jnsdes 2188an)","£Z9S8 ZV ‘9JR10 ‘erom oueÏ M 029 “DUI “SIOÏNGUISIQG SJPNPO1G YIESH M :Aq poynquasia  “UONeJOd1O7 ESUIGES JO YIEWApeN paaIsISOI e si  “DU] “UORLINN X9AAG JO YseWape1) pasaIsIBos E  “sgur.  ‘SBUL10J05 ‘sonNEAIASAId ‘XEM “KBNS ‘SEOA ‘s!  ‘380 ‘Aos ‘uoin|8 “Aojueq ‘u109 ‘syeo ‘oAI ‘Yea ""NZAGTIHD 40 HDV3à 40 1NO d:  “3DV1d AUG “10O3 V NI JHOLS  “JeuoIssajo1d 2185 Yyjeoy e Ag parpesp se 10 ‘spi sajnsdes €-7 oye) Yuawa|ddns Aejoip e sy  Duijje1sAIDOsOIu “(ojnsded o1BBan)","£Z9S8 ZV “IPr1O “es>np ouwez M 0Z u s10Ig195Ia sIPNpo1d4 YIeSH "" :Áq painquisia  ruonejodioj esuiges j0 yIewapen pararsida! e si  “2u “uonLINN XaMÁ) JO >JeLapen paíaisida: e  “sBuI.  “s8uojo9 “sannenIOsaId “Xem IeBNs SEDÁ 'SI  339 0s “uain|3 Xapieg “u1oo “sIeo “DÁ1 Tea “N3YG1IHI 10 HIVIY 40 LNO d:  “32V1d ANG “1009 Y NI 3HOLS  “¡euo1ssajOJd 3e2 UNeay e Áq paaip se 10 “Sii sejnsdeo £-7 aye) quawajddns Árejaip e sy  dujpeIsA 01u “(ajnsdeo 21883n)",5z958 ZV 「appes /eoon ougusD M 0L9 “2ul sioingysiq spnpoud IeaH 口 :Aq pagnqusid  “uogeodloD psulqes J0 尘 eu9pe palalsl8ol e 5 “2u| uoninN xaMD J0 允 etapeHy puaI5l8918 “S8ul  “S8uolo2 S9AjeANasaud XBM p8ns 05paK /5 889 hos “ualn|8 Moheq tuuo2 sleo hu 13  N3MQIIHD 40 HDV840 LnO d 3DVId ANQ 100D Y NI38O1S  “Jeuolssayoud azp2 4jead Aq paipaulp Se Jo 46[ Salnsde2 5-7 ayey 4Uatalddns uziogp e SW  aulleyshuoouttu foInsdea 2188aw)
18,0,images/96. 859112006086_supp.jpg,infants under 1 year of age.  wﬁtionb Facts Sevings bar Comtanr 30,infants under l year of age.  Ëtﬁtio«_ Facts Senings Per Continer 0,infants under 1 year of age. -  !¿=iñtion_ Facts SevinosPor Contaner 80,infants under t year ofag6.-  Mutrition Facts b
19,0,images/94. 041100806574.jpg,Indoor & Outdoor Allergies Nl     2 0 LRI  “When taken asulirected SeeDrug Facts Panel. ;,Indoor & Outdoor Allergies z ané -     2 a CHEWABLE JABLETS:  d MEh és és addaa Vetlpéelots deilah '(,"Indoor 8 Outdoor Allergies ZA     2 0 2001197177  M lze 2a ei ae A """,Indoor & Outdoor Allergies zn     Z ″ /XAl/A/ 者 AE/A3/7  CWe7toKeiibJreCteH5EpD7UDTOCfS0TEJ 夥
20,0,images/00011822316453_1.jpg,"loratadine tablets USP, 10 mg","loratadine tablets USP, 10 mg",loratadine tablets U oo,loratadine tablets L 朋 L
21,0,images/80. medication-allergy-alert-hospital-wristband-prescription-bottle-49355526.jpg,rom Dreamstime.com     [E) sherry Young | Dreamstime.com,rom Dreamstime.com     © sherry Young | Dreamstime.com,rom Dreamstime.com     [E) sherry Young | Dreamstime.com,Om Dreamstime.com     回 snem youa |Deamstmecon
